"Company.Name","YEAR","ROE","ROC","NPM","DIV","DEP","Beta","P.E","P.B","EVEBITDA","PSALES"
"Ashok Leyland Ltd.",1948,-5.34,-2.21,-1.5,0,3764.8,1.32,47.13,1.93,14.47,0.577543960557998
"Ashok Leyland Ltd.",1948,-0.88,-0.42,-0.22,38.25,4147.3,1.33,62.35,5.11,15.42,1.41045518958989
"Ashok Leyland Ltd.",1948,8.19,5.1,1.89,39.56,4879,1.39,79.47,5.71,13.05,1.51218066481731
"Atul Auto Ltd.",1986,12.8,6.83,2.22,17.14,19.5,1.75,10.65,1.6,5.99,0.291951098862271
"Atul Auto Ltd.",1986,4.81,2.22,1.37,46.46,22.9,1.4,21.93,1.05,8.7,0.301558947710296
"Atul Auto Ltd.",1986,0.67,0.31,0.15,63.04,24.6,1.4,12.23,0.41,6.57,0.0998988877654196
"Atul Auto Ltd.",1986,13.88,7.48,3.4,25.77,38.7,0.98,5.88,0.78,3.36,0.200751303281202
"Atul Auto Ltd.",1986,25.44,18.24,4.22,24.81,42.5,0.92,7.21,1.69,3.53,0.305138233310856
"Atul Auto Ltd.",1986,30.12,27.31,4.4,23.48,42.3,0.92,6.36,1.5,4.33,0.254712915756252
"Atul Auto Ltd.",1986,39.21,38.07,6.2,25.39,44.4,0.85,7.53,2.19,5.5,0.395797786769366
"Atul Auto Ltd.",1986,33.49,33.49,5.85,27.63,52.1,0.96,13.96,4.19,7.43,0.821317958538007
"Atul Auto Ltd.",1986,33.42,33.42,6.66,27.06,55.9,1.14,33.85,10.09,18.55,2.26645531962367
"Atul Auto Ltd.",1986,34.28,34.28,7.91,24.3,52.9,1.25,24.12,7.38,14.44,1.91324568914858
"Auto Pins (India) Ltd.",1975,-10.37,-26.6,-126.26,14.08,10.3,1.04,21.03,0.03,3.17,48.0515151515151
"Auto Pins (India) Ltd.",1975,-18.71,-37.9,-83.11,22.42,10.2,0.58,21.03,2.26,10.76,57.5283783783784
"Auto Pins (India) Ltd.",1975,54.37,-63.2,-66.96,9.47,10.1,1.23,134.69,10.47,35.28,399.604405286344
"Auto Pins (India) Ltd.",1975,-519.28,-65.86,-68.97,0,10.1,1.41,21.03,0.33,5.61,2.28206896551724
"Auto Pins (India) Ltd.",1975,7.87,-15.76,-6.46,0,12.9,0.75,15.5,1.51,9.45,0.168371467025572
"Auto Pins (India) Ltd.",1975,10.41,-10.98,-3.5,0,10.5,0.95,274.9,1.02,16.74,2.65223623853211
"Auto Pins (India) Ltd.",1975,18.45,-20.12,-6.78,0,10.6,1.7,49.63,6.95,14.49,3.70966072455434
"Auto Pins (India) Ltd.",1975,-37.98,-14.36,-6.25,0,10.7,1.2,62.35,0.45,5.61,2.71595405232929
"Auto Pins (India) Ltd.",1975,-7.2,-5.01,-2.82,0,2.1,0.96,22.15,0.99,3.68,1.64194352159468
"Auto Pins (India) Ltd.",1975,-25.03,-15.58,-9.81,0,1.3,1.47,62.35,2.84,3.59,0.371952535059331
