"YEAR","ROE","ROC","NPM","DIV","DEP","Beta","P.E","P.B","EVEBITDA","PSALES"
1962,1.42,8.84,0.45,13.2257101865136,122.5,0.9,20.68,4.04,5.87,0.325728619730241
1986,2.55,10.16,3.22,13.2257101865136,80.5,1.08,9.22,1.36,1.86,0.688644688644689
1986,3.78,0.15,0.5,13.2257101865136,33.9,1.41,128.57,0.68,5.23,0.307985099574956
1986,7.56,5.23,3.05,13.2257101865136,142.5,1.17,6.31,0.89,7.95,0.0913467828002892
2005,14.6399713055954,7.14017216642755,3.87781922525108,13.2257101865136,6310.4,1.48,14.69,0.85,5.48,0.312966611226241
2005,14.6399713055954,7.14017216642755,3.87781922525108,109.16,1.6,0.68,2.37,0.42,10.4375753228121,0.162811913592647
2005,7.55,3.66,2.94,9.75,169.4,0.11,59.6,4.32,20.96,1.75304848115931
2005,33.33,3.26,4.96,9.86,139.1,0.31,49.61,4.04,28.55,2.4635339846258
2005,5.34,1.88,1.8,13.2257101865136,56.5,1.59,11.7,0.9,46.78,0.329572664902919
2005,33.15,11.99,7.78,13.2257101865136,116.3,1.19,5.93,1.66,5.05,0.46306936211177
2005,11.46,5.08,3.1,13.2257101865136,124.8,1.06,5.88,0.6,4.09,0.183302546510094
2005,18.15,8.92,6.06,13.2257101865136,148,1.06,7.92,1.33,5.85,0.481362858983186
2005,13.13,7.27,3.79,13.2257101865136,156.8,1.07,6.46,0.79,4.13,0.249653369317703
2005,7.46,4.62,2.23,13.2257101865136,155.4,1.07,8.67,0.77,4.12,0.228844838308458
2005,13.95,9.91,4.05,13.2257101865136,159.2,0.98,4.57,0.62,4.86,0.186675372933384
2005,6.32,4.55,2.01,13.2257101865136,171.3,0.85,10.08,0.62,5.37,0.203319369638939
2005,13.64,9.65,4.46,13.2257101865136,168.6,0.73,5.27,0.68,4.05,0.235500717786248
2005,13.61,10.86,5.52,13.2257101865136,175.5,0.58,5.34,0.68,3.4,0.295629577768203
1988,1.72,1.41,0.66,13.2257101865136,1.8,1.51,216.84,0.84,4.34,1.05692307692308
1988,0.93,0.77,0.18,13.2257101865136,1.2,1.44,9.74,0.89,25.9,0.395106382978723
1988,0.7,15.87,8.3,13.2257101865136,109.5,0.55,15.9,0.61,26.63,0.41405529953917
1988,14.6399713055954,7.14017216642755,3.87781922525108,42.41,3.8,1.38,34.82,0.62,5.36,0.396586021505376
